"Council(T)","NT","Order No.","Supplier","Supplier(T)","Account","Account(T)","CostC","CostC(T)","Description","Order Amount","Irrecoverable VAT","Order Date"
"West Suffolk Council","CE",8050488,506684,"RG Carter Southern Ltd","C9999","Capital Expenditure",9000,"Balance Sheet","Mildenhall Hub - Payment Certificate ","390,725.00 ","0.00 ",01 April 2019
"West Suffolk Council","CE",8051073,501971,"Local Government Association","R4701","Subscriptions",1100,"Corporate Expenditure","LGA Membership Subscription ","10,450.00 ","0.00 ",01 April 2019
"West Suffolk Council","CP",8050360,500591,"Cale Access UK Ltd","R5020","TPP - Other",3110,"Off Street Car Parks","MP104 to CWT-C Upgrade","9,032.00 ","0.00 ",01 April 2019
"West Suffolk Council","CP",8050797,500771,"Cobalt Telephone Technologies Ltd","R4401","Services - Fees and Charges",3110,"Off Street Car Parks","SEBC RingGo Fee","7,132.98 ","0.00 ",01 April 2019
"West Suffolk Council","CP",8050963,504880,"Truetech Integrated Ltd","R5020","TPP - Other",3110,"Off Street Car Parks","Body Cameras","7,432.80 ","0.00 ",01 April 2019
"West Suffolk Council","DS",8050436,504830,"Modern Mindset Ltd","R4530","Computing - Purchase of Hardware",1130,"Democratic Services","modern.gov","10,250.00 ","0.00 ",01 April 2019
"West Suffolk Council","EN",8050649,505455,"Greencells GmbH","R2003","R & M of Plant & Equipment",3094,"Solar Farm","R & M of Plant & Equipment","5,290.00 ","0.00 ",01 April 2019
"West Suffolk Council","FE",8050952,505666,"United Stage International Limited","R4803","Artistes/Performers Fees",2072,"Bury Festival","Artiste Fees","8,000.00 ","0.00 ",01 April 2019
"West Suffolk Council","FE",8050955,501484,"Hazard Chase Limited","R4803","Artistes/Performers Fees",2072,"Bury Festival","Artiste Fees","7,850.00 ","0.00 ",01 April 2019
"West Suffolk Council","FM",8050633,504951,"WFL (UK) Ltd t/a Hall Fuels","BZ321","Stock - For Internal Use",9000,"Balance Sheet","Fuel for BSE ","14,278.22 ","0.00 ",01 April 2019
"West Suffolk Council","FM",8050633,504951,"WFL (UK) Ltd t/a Hall Fuels","BZ321","Stock - For Internal Use",9000,"Balance Sheet","Fuel for HH ","6,872.43 ","0.00 ",01 April 2019
"West Suffolk Council","FM",8050633,504951,"WFL (UK) Ltd t/a Hall Fuels","BZ321","Stock - For Internal Use",9000,"Balance Sheet","Fuel for Mildenhall ","7,175.31 ","0.00 ",01 April 2019
"West Suffolk Council","FM",8050708,504951,"WFL (UK) Ltd t/a Hall Fuels","BZ321","Stock - For Internal Use",9000,"Balance Sheet","Stocks - Vehicle Fuel","10,140.00 ","0.00 ",01 April 2019
"West Suffolk Council","FM",8050728,505997,"Hako Machines Ltd","C9999","Capital Expenditure",9000,"Balance Sheet","Purchase of Hako sweeper","71,000.00 ","0.00 ",01 April 2019
"West Suffolk Council","FM",8051013,504951,"WFL (UK) Ltd t/a Hall Fuels","BZ321","Stock - For Internal Use",9000,"Balance Sheet","Diesel","7,110.01 ","0.00 ",01 April 2019
"West Suffolk Council","FM",8051171,504951,"WFL (UK) Ltd t/a Hall Fuels","BZ321","Stock - For Internal Use",9000,"Balance Sheet","Fuel for BSE 15000","15,201.00 ","0.00 ",01 April 2019
"West Suffolk Council","FM",8051171,504951,"WFL (UK) Ltd t/a Hall Fuels","BZ321","Stock - For Internal Use",9000,"Balance Sheet","Fuel for Mildenhall ","9,120.00 ","0.00 ",01 April 2019
"West Suffolk Council","IT",8050421,505464,"CCS Media Limited","R4540","ICT Hardware Funded from Reserve",1002,"ICT","StarTech Docking stations HDMI or VGA USB 3.0","13,750.00 ","0.00 ",01 April 2019
"West Suffolk Council","IT",8050425,502583,"NG Bailey IT Services Ltd","R4540","ICT Hardware Funded from Reserve",1002,"ICT","Contact Center IVR Routing Port ","12,285.00 ","0.00 ",01 April 2019
"West Suffolk Council","IT",8050538,507135,"Getmapping PLC","R4534","Computing - Maint Agreements",1002,"ICT","Historic imagery  St Eds","5,298.25 ","0.00 ",01 April 2019
"West Suffolk Council","IT",8050804,506267,"Internet Videocommunications Limited","R4540","ICT Hardware Funded from Reserve",1010,"Anglia Revenues Partnership","ICT Hardware purchase","6,945.00 ","0.00 ",01 April 2019
"West Suffolk Council","IT",8050874,505464,"CCS Media Limited","R4540","ICT Hardware Funded from Reserve",1002,"ICT","Telecoms Hardware purchase","6,707.00 ","0.00 ",01 April 2019
"West Suffolk Council","IT",8050991,500953,"Dell Corporation Ltd","BZ578","ICT Holding Account",9000,"Balance Sheet","Latitude 5590 BTS Configuration","9,193.65 ","0.00 ",01 April 2019
"West Suffolk Council","IT",8050991,500953,"Dell Corporation Ltd","BZ578","ICT Holding Account",9000,"Balance Sheet","Latitude 5590 BTS Configuration","9,193.65 ","0.00 ",01 April 2019
"West Suffolk Council","IT",8050991,500953,"Dell Corporation Ltd","BZ578","ICT Holding Account",9000,"Balance Sheet","Latitude 5590 BTS Configuration","6,129.10 ","0.00 ",01 April 2019
"West Suffolk Council","IT",8050991,500953,"Dell Corporation Ltd","BZ578","ICT Holding Account",9000,"Balance Sheet","Latitude 3390 2-in-1","5,852.90 ","0.00 ",01 April 2019
"West Suffolk Council","IT",8050991,500953,"Dell Corporation Ltd","BZ578","ICT Holding Account",9000,"Balance Sheet","Latitude 5490 BTS Configuration","9,633.30 ","0.00 ",01 April 2019
"West Suffolk Council","IT",8050991,500953,"Dell Corporation Ltd","BZ578","ICT Holding Account",9000,"Balance Sheet","Latitude 5490 BTS Configuration","9,633.30 ","0.00 ",01 April 2019
